user_id,persona_type,openness,conscientiousness,extraversion,agreeableness,neuroticism
user1,The Dependable Supporter,0.5276927747774467,0.7962584375858531,0.4263967463349318,0.845451266046996,0.2221894591653093
user2,The Innovative Achiever,0.8827859077439268,1.0,0.7838628811559063,0.3534255978220039,0.41321120213148194
user3,The Balanced Individual,0.4793355769124075,0.430964061378693,0.6665641034074623,0.5238145934287383,0.3489364665459882
user4,The Innovative Achiever,0.9150230506489148,0.818702746862552,0.5466908534937014,0.3803485407885415,0.456761450810096
user5,The Dependable Supporter,0.5098800828910023,0.9919510808215543,0.7411847879873809,0.9280552629589407,0.131528921500325
user6,The Enthusiastic Explorer,0.8415025468747956,0.5060396988805682,0.9331047146348452,0.5431015073522409,0.4726972015559262
user7,The Sensitive Reactor,0.6624254786703531,0.4565885416496562,0.5372208651013032,0.6149992142172778,0.6259915428462155
user8,The Enthusiastic Explorer,0.8682380420322021,0.46500966617891026,0.8417361266014208,0.6848150754228971,0.5628643319592579
user9,The Innovative Achiever,0.6253744235003516,0.8641017882746758,0.6867145475453469,0.3955407881892467,0.4981713423173528
user10,The Balanced Individual,0.535180205214975,0.5469538636269505,0.4961054892930366,0.7326374187327245,0.4515958872416281
user11,The Balanced Individual,0.5279370575179785,0.6495449574853833,0.4329607332932361,0.5618992030157198,0.6347455871757879
user12,The Innovative Achiever,0.9671182835156775,0.9307144402220091,0.8522157829948723,0.5524305135799524,0.3351250878767138
user13,The Balanced Individual,0.5496768446984555,0.32002632955184246,0.4917794418914005,0.5649517792688081,0.33070242962940716
user14,The Dependable Supporter,0.30565058555651303,0.9570644170780654,0.5682982783786792,0.9191517613585196,0.29746414684609235
user15,The Dependable Supporter,0.5071827703359338,0.6447960192661705,0.508619813466803,0.9697655332404436,0.4304499471953138
user16,The Enthusiastic Explorer,0.8575953967791483,0.6421898849056066,0.7768444378354442,0.6535982856916529,0.3921202711347378
user17,The Balanced Individual,0.5649232503043284,0.6344172028498194,0.7474303267529748,0.494473029630093,0.6241435902795931
user18,The Innovative Achiever,0.791355137818812,1.0,0.6554536493422085,0.660509489640015,0.4646624155789152
user19,The Enthusiastic Explorer,0.9558813242208831,0.22792108556330443,0.9832508525214264,0.7437939334817134,0.4076255673667352
user20,The Balanced Individual,0.7060902600173187,0.644253647510012,0.4311826900264012,0.6146863672120552,0.31637745116462923
